experiment id,best path,best cost,node expansion,elapsed time,graph size,graph MST cost,estimated cost,graph min edge,graph max edge,graph mean edge,graph std edge,bounding method,inital cost,ML prioritizer,ML depth,multi process depth
18,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 185, 390, 523, 446, 254, 107, 26]",0.2680249214172363,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,estimate,random forest,3,0
19,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 185, 390, 523, 446, 254, 107, 26]",1.2058029174804688,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,estimate,random forest,4,0
20,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 185, 390, 523, 446, 254, 107, 26]",3.963214874267578,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,estimate,random forest,5,0
21,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 185, 387, 502, 427, 241, 101, 26]",0.0542981624603271,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,estimate,neural network,2,0
22,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 185, 387, 502, 427, 241, 101, 26]",0.0639488697052002,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,estimate,neural network,3,0
23,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 185, 387, 502, 427, 241, 101, 26]",0.1098608970642089,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,estimate,neural network,4,0
24,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 185, 387, 502, 427, 241, 101, 26]",0.2355809211730957,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,estimate,neural network,5,0
25,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 284, 673, 989, 930, 665, 404, 154]",0.1010560989379882,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,inf,none,2,0
26,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 284, 673, 989, 930, 665, 404, 154]",0.1018500328063964,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,inf,none,3,0
27,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 284, 673, 989, 930, 665, 404, 154]",0.1027338504791259,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,inf,none,4,0
28,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 284, 673, 989, 930, 665, 404, 154]",0.1025128364562988,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,inf,none,5,0
29,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 267, 563, 691, 475, 225, 107, 39]",0.1166040897369384,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,inf,random forest,2,0
30,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 267, 556, 645, 399, 175, 74, 22]",0.2939150333404541,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,inf,random forest,3,0
31,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 267, 556, 645, 399, 175, 74, 22]",1.5282869338989258,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,inf,random forest,4,0
32,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 267, 556, 645, 399, 175, 74, 22]",5.52345085144043,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,inf,random forest,5,0
33,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 258, 497, 527, 287, 112, 45, 16]",0.0679240226745605,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,inf,neural network,2,0
34,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 258, 497, 527, 287, 112, 45, 16]",0.0766799449920654,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,inf,neural network,3,0
35,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 258, 497, 527, 287, 112, 45, 16]",0.1345348358154297,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,inf,neural network,4,0
36,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 258, 497, 527, 287, 112, 45, 16]",0.3120288848876953,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,inf,neural network,5,0
37,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 266, 518, 559, 307, 117, 49, 17]",0.0660750865936279,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,estimate,none,2,0
38,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 266, 518, 559, 307, 117, 49, 17]",0.0660500526428222,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,estimate,none,3,0
39,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 266, 518, 559, 307, 117, 49, 17]",0.0660207271575927,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,estimate,none,4,0
40,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 266, 518, 559, 307, 117, 49, 17]",0.0662040710449218,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,estimate,none,5,0
41,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 260, 505, 543, 298, 115, 46, 17]",0.1041491031646728,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,estimate,random forest,2,0
42,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 260, 505, 543, 298, 115, 46, 17]",0.2827301025390625,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,estimate,random forest,3,0
43,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 260, 505, 543, 298, 115, 46, 17]",1.5138862133026123,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,estimate,random forest,4,0
44,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 260, 505, 543, 298, 115, 46, 17]",5.39117693901062,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,estimate,random forest,5,0
45,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 258, 497, 527, 287, 112, 45, 16]",0.0685412883758544,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,estimate,neural network,2,0
46,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 258, 497, 527, 287, 112, 45, 16]",0.0772578716278076,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,estimate,neural network,3,0
47,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 258, 497, 527, 287, 112, 45, 16]",0.1347928047180175,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,estimate,neural network,4,0
48,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 71, 258, 497, 527, 287, 112, 45, 16]",0.3119428157806396,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,MST,estimate,neural network,5,0
49,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 66, 338, 1170, 2746, 4370, 4361, 2634, 640]",0.2236039638519287,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,inf,none,2,0
50,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 66, 338, 1170, 2746, 4370, 4361, 2634, 640]",0.2237341403961181,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,inf,none,3,0
51,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 66, 338, 1170, 2746, 4370, 4361, 2634, 640]",0.2202327251434326,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,inf,none,4,0
52,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 66, 338, 1170, 2746, 4370, 4361, 2634, 640]",0.2223968505859375,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,inf,none,5,0
53,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 273, 837, 1741, 2486, 2317, 1251, 263]",0.1893150806427002,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,inf,random forest,2,0
54,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 273, 849, 1785, 2572, 2473, 1396, 331]",0.3736939430236816,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,inf,random forest,3,0
55,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 273, 850, 1788, 2583, 2489, 1405, 333]",1.4018099308013916,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,inf,random forest,4,0
56,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 273, 850, 1789, 2588, 2503, 1431, 343]",5.482396125793457,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,inf,random forest,5,0
57,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 258, 722, 1285, 1435, 962, 470, 114]",0.1095051765441894,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,inf,neural network,2,0
58,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 258, 722, 1285, 1435, 962, 470, 114]",0.1198410987854003,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,inf,neural network,3,0
59,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 258, 722, 1285, 1435, 962, 470, 114]",0.1670100688934326,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,inf,neural network,4,0
60,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 258, 722, 1285, 1435, 962, 470, 114]",0.3469910621643066,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,inf,neural network,5,0
61,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 263, 739, 1346, 1527, 1027, 490, 109]",0.1059262752532959,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,estimate,none,2,0
62,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 263, 739, 1346, 1527, 1027, 490, 109]",0.1063249111175537,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,estimate,none,3,0
63,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 263, 739, 1346, 1527, 1027, 490, 109]",0.1062510013580322,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,estimate,none,4,0
64,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 263, 739, 1346, 1527, 1027, 490, 109]",0.1071419715881347,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,estimate,none,5,0
65,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 260, 732, 1314, 1470, 991, 477, 107]",0.1469383239746093,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,estimate,random forest,2,0
66,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 260, 732, 1314, 1470, 991, 477, 107]",0.3244800567626953,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,estimate,random forest,3,0
67,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 260, 733, 1314, 1473, 994, 478, 107]",1.34151291847229,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,estimate,random forest,4,0
68,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 260, 733, 1314, 1473, 994, 478, 107]",5.214905023574829,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,estimate,random forest,5,0
69,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 258, 722, 1285, 1435, 962, 469, 107]",0.1099081039428711,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,estimate,neural network,2,0
70,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 258, 722, 1285, 1435, 962, 469, 107]",0.1181590557098388,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,estimate,neural network,3,0
71,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 258, 722, 1285, 1435, 962, 469, 107]",0.1645679473876953,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,estimate,neural network,4,0
72,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 58, 258, 722, 1285, 1435, 962, 469, 107]",0.3436946868896484,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,edge,estimate,neural network,5,0
73,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 433, 1550, 3375, 4400, 3397, 1846, 602]",0.2890429496765136,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,inf,none,2,0
74,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 433, 1550, 3375, 4400, 3397, 1846, 602]",0.2883069515228271,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,inf,none,3,0
75,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 433, 1550, 3375, 4400, 3397, 1846, 602]",0.2887589931488037,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,inf,none,4,0
76,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 433, 1550, 3375, 4400, 3397, 1846, 602]",0.2876391410827636,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,inf,none,5,0
77,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 393, 1240, 2284, 2500, 1617, 812, 232]",0.2445840835571289,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,inf,random forest,2,0
78,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 393, 1248, 2340, 2623, 1767, 947, 296]",0.4303889274597168,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,inf,random forest,3,0
79,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 393, 1248, 2342, 2626, 1781, 955, 300]",1.6912360191345217,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,inf,random forest,4,0
80,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 393, 1248, 2342, 2628, 1798, 979, 310]",7.571830987930298,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,inf,random forest,5,0
81,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 388, 1124, 1817, 1591, 638, 279, 100]",0.1693518161773681,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,inf,neural network,2,0
82,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 388, 1124, 1817, 1591, 638, 279, 100]",0.1773989200592041,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,inf,neural network,3,0
83,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 388, 1124, 1817, 1591, 638, 279, 100]",0.2339701652526855,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,inf,neural network,4,0
84,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 388, 1124, 1817, 1591, 638, 279, 100]",0.503035306930542,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,inf,neural network,5,0
85,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 395, 1155, 1892, 1664, 671, 289, 96]",0.1627559661865234,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,estimate,none,2,0
86,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 395, 1155, 1892, 1664, 671, 289, 96]",0.1626279354095459,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,estimate,none,3,0
87,"[0, 5, 2, 4, 8, 9, 3, 1, 7, 6, 0]",30.389050422582734,"[1, 9, 72, 395, 1155, 1892, 1664, 671, 289, 96]",0.1628799438476562,10,24.99460169804673,30.692940926808564,1.0,10.295630140987,5.812275736544864,2.719416948566295,MST,estimate,none,4,0
